Message ID,Send Time,Receive Time,Status,Error
0,10406766041,10406766197,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
1,10406766241,10406766276,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
2,10406766442,10406766479,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
3,10406766642,10406766677,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
4,10406766842,10406766910,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
5,10406767042,10406767079,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
6,10406767242,10406767280,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
7,10406767442,10406767489,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
8,10406767642,10406767678,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
9,10406767843,10406767895,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
10,10406768043,10406768187,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
11,10406768243,10406768281,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
12,10406768443,10406768476,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
13,10406768643,10406768835,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
14,10406768843,10406768897,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
15,10406769044,10406769081,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
16,10406769244,10406769333,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
17,10406769444,10406769485,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
18,10406769644,10406769685,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
19,10406769844,10406769962,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
20,10406770044,10406770234,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
21,10406770245,10406770295,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
22,10406770445,10406770493,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
23,10406770645,10406770684,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
24,10406770845,10406770887,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
25,10406771045,10406771094,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
26,10406771245,10406771330,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
27,10406771446,10406771485,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
28,10406771646,10406771689,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
29,10406771846,10406771884,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
30,10406772046,10406772088,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
31,10406772246,10406772282,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
32,10406772446,10406772498,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
33,10406772646,10406772686,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
34,10406772847,10406772900,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
35,10406773047,10406773097,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
36,10406773247,10406773294,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
37,10406773447,10406773485,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
38,10406773647,10406773698,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
39,10406773847,10406773885,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
40,10406774048,10406774088,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
41,10406774248,10406774335,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
42,10406774448,10406774505,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
43,10406774648,10406774692,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
44,10406774848,10406774896,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
45,10406775048,10406775091,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
46,10406775249,10406775321,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
47,10406775449,10406775498,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
48,10406775649,10406775781,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
49,10406775849,10406775886,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
50,10406776049,10406776143,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
51,10406776249,10406776283,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
52,10406776449,10406776500,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
53,10406776650,10406776684,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
54,10406776850,10406776892,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
55,10406777050,10406777084,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
56,10406777250,10406777292,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
57,10406777450,10406777561,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
58,10406777650,10406777690,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
59,10406777851,10406777898,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
60,10406778051,10406778177,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
61,10406778251,10406778289,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
62,10406778451,10406778490,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
63,10406778651,10406778695,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
64,10406778851,10406778893,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
65,10406779052,10406779093,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
66,10406779252,10406779286,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
67,10406779452,10406779488,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
68,10406779652,10406779689,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
69,10406779852,10406779895,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
