Message ID,Send Time,Receive Time,Status,Error
0,9807755801,9807756046,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
1,9807756559,9807756588,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
2,9807757520,9807757548,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
3,9807758319,9807758348,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
4,9807759566,9807759596,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
5,9807762332,9807762361,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
6,9807763351,9807763380,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
7,9807764071,9807764098,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
8,9807765101,9807765140,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
9,9807765810,9807765839,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
10,9807766541,9807766570,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
11,9807767805,9807767833,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
12,9807770485,9807770523,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
13,9807771512,9807771542,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
14,9807772713,9807772749,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
15,9807774006,9807774039,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
16,9807775456,9807775484,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
17,9807776180,9807776209,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
18,9807777042,9807777070,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
19,9807778474,9807778504,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
20,9807779362,9807779391,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
21,9807784714,9807784744,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
22,9807786137,9807786165,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
23,9807786871,9807786900,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
24,9807788953,9807788981,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
25,9807789895,9807789924,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
26,9807790873,9807790901,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
27,9807791703,9807791732,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
28,9807792477,9807792509,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
29,9807794686,9807794715,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
30,9807795416,9807795447,1,"IOTHUB_CLIENT_CONFIRMATION_OK"
